id,name,lat,lng
4aa53e646bf84faca9a76c020b0682de,Witting-Renner,59.33265973,18.06061238
6c071e36fe5549fe804fc39e676c438d,Lang and Sons,59.33829867,18.11972347
d15e1070fbd64399b0ec716ab7e23cd8,Batz-Johnston,59.33137175,18.06589875
34a7df41822c436aa6f3b88e13818049,Abbott-Wintheiser,59.35386969,18.04203351
cf6e4ae901904a9f9a74e447b90d474a,Stiedemann Inc,59.338432,18.0089879
d7ec3b89d587473092432be55856fffc,Balistreri-Yost,59.29432204,18.05274844
8167cc421d184c0da948fee4ade3c6bb,"Huels, Hackett and Christiansen",59.38292568,18.07971616
017a10fae01a44a2976a87eaacdf8c2d,Schimmel PLC,59.31251683,18.04600568
58d2af42c3e44a5495cf719e620c0fd4,Hills Ltd,59.37438242,18.16945936
cc0b3a06381b43df8064f179adc60978,"Rempel, Orn and Graham",59.33876757,18.04276389
ac69bcc197894e01bd9f9f6995fc891f,Effertz-Howell,59.36716393,18.15592735
293c915f73a74158a5ff047ae88ea3da,"Bartoletti, O'Kon and Hills",59.3179999,18.08332061
31e567f3e02a42bab3c8b25242c0004b,Farrell Group,59.35125988,18.03935872
bd8e0c56ca6e42439d299c0ae21c3952,"Yost, Streich and Johns",59.37209321,18.02732841
ae7882d8db7f4a829ef186cd712044c7,"Haley, Vandervort and Herzog",59.32757525,18.09478216
09b1aff21ea64569b7a4c191513f7daf,"Heathcote, Auer and Kuhic",59.32518687,18.0305844
d898b98cdb5e4f478c4875e222ae0e74,"Kohler, McLaughlin and Legros",59.31726884,18.07256486
3cbf2d6eb52649fea20a53d01c84af3c,"Green, Upton and Gleason",59.341891,18.0655715
6ba0f96e120347aebe4f05c588a22317,Rau Group,59.33815192,18.08140874
27372dcf1e4a4b03aa5dc053982e49e7,Robel-Bradtke,59.35347863,18.10268033
188e1c03631d45b69c073785849305fb,Hermiston-Stoltenberg,59.37945491,18.04081631
3512a86cc7814541accf5955d26b8904,"Ruecker, Langworth and Kirlin",59.277972,18.04911782
2e99c7f6375e41a19410adb9ad1cde8c,"Walker, Parker and Gorczany",59.35634911,18.10678659
2c0f483473a54707bfcb6bb156aa7fb0,Beier-Mante,59.33227508,18.03312932
a70b532cfbe94cc1b7b6f4d493d370cf,"Upton, Feeney and VonRueden",59.32378725,18.12131951
5932e59ecfbe4dc9964e207cf0bd3a3e,Lynch and Sons,59.27059955,18.05603002
30940532b89c4858a66f78dbdbfd050b,Grimes Ltd,59.32656801,18.08207131
b625b86a917241d8830f424da40c39bd,"Oberbrunner, O'Kon and Jacobson",59.33177008,18.06529046
d877395efd0f4c909166a8eab3fe1318,Gislason-Gerhold,59.31691482,18.06459272
9a019e1b4bdc405381a39c45286759ff,Sipes-Jast,59.34137475,18.05755348
ee71ad9ced5d4d4caed6d0852339a1a7,"Osinski, Runte and Lynch",59.33093885,17.99016401
3c8cd5c7a0f34db0a2b6c0dd4e0dd4a6,"Jacobi, Baumbach and Schaefer",59.37964473,18.05023163
65c9cbd0546b4f528ddb26d22d5b14dc,Green-Flatley,59.33180805,18.05517378
9f0ccd53e7e64939a0a53274fd187a88,Schroeder-Gerhold,59.32547841,18.0548142
5960b3370cfe48b39cc40695cb32d8f5,Spencer-Runolfsdottir,59.32136985,18.05319602
7d9964f8108b4e6a815c2714d15aac17,Kunze-Kozey,59.32753715,18.05656274
ee3ec1b42c644f67bc10ac9ae34d59db,"Towne, Kemmer and Schuster",59.37453348,18.02804415
16c4480607e24128be1a9fce49a3b298,"Hudson, Braun and Rau",59.33182309,18.06564341
854b1abc94a64ec6829289891cf521a9,McGlynn-Reinger,59.3173893,18.04211585
33de9d74491641bbadf482239799db80,Lemke-Bradtke,59.33534775,18.06189753
8d521506261f4406b64b48d71559487f,Nader-Powlowski,59.35095495,18.08770404
fb49dde19ebb4a6aa9cd2838cb78a382,Weber-Moore,59.34456801,18.09420375
87f02f5ead9341b58db67adf522dc732,"Batz, Jenkins and Bosco",59.33352236,18.07436827
90fee13d866746c69608111dc89bc7ae,"Emard, Raynor and Ankunding",59.35950243,17.99455933
e0ad7a4de7784f51bb186cefd0d7f3e5,"Tremblay, Carter and Schmidt",59.32880025,18.05066016
9cb183d86c9e497bb9c7fa802c0486d0,"Runolfsson, Block and Hoeger",59.32772257,18.05517391
6d87cacd3cd64f41b712efc6398879a5,Nader-McDermott,59.35471407,18.09305568
a656ed75211d43b595818565c2b1cc3c,"Konopelski, Murray and Schamberger",59.33427823,18.07284778
c32fd16a3db2432b87ce3ad524973a89,Altenwerth-Donnelly,59.32741098,18.04716542
8777ba7c0a1b45008a3ae7c62ac26777,Bauch Group,59.32290746,18.08926882
86f4c5f47e9547269dac55dccce337ea,"Fadel, Wolff and Stokes",59.33287576,18.06922488
3b61e023fd624009b3c5050e1933e5ae,"Brown, Bernhard and Wyman",59.32956045,18.06000855
3325ce1cbf344c80818200902592950f,Conn-McCullough,59.37059454,18.03335706
4bdb4ee922124251aea6ac42b1df0027,Haag-Pagac,59.34035809,18.06617645
eb376b3e73894ce1b00027ce216e1a37,Cormier-Jast,59.29545752,18.04187665
e30aa0dbd80b40fdafffd43e6b6d16c3,Murphy LLC,59.36502649,18.04027091
c3eeba7398734081b647cb0c70c1b22a,Rodriguez-Volkman,59.33540512,18.06004969
40725d47c56144cf9cd6be79add6e451,Champlin-Kiehn,59.30207255,18.07780053
0db536e2d4cd45fdb9cb2cfe6d343420,"Tremblay, Gleichner and Kshlerin",59.38853822,18.04021126
0836a341e1084ec8bcf5aa8308b24c0c,"Towne, Abshire and Koss",59.3193283,18.08561389
9ae36ba696964543b1a7c61487ec0ba9,"Nicolas, Lindgren and Buckridge",59.33131908,18.05567703
41d4f2e7ee7945918a7199fd47c7579c,Romaguera-Bechtelar,59.35005389,18.03671331
2c1ad2b3b25f4b71bf3be0d26006f8eb,Senger-McLaughlin,59.3404373,18.0578864
ba6b2f9127d548ee9d1a12092e466489,Kutch-Von,59.31549315,18.07355377
19f6008f05fc41f8833664fe1b99f9c3,"McDermott, Kling and Sipes",59.33102969,18.05923868
3b76c7c236084b60b23b4e4e77625691,Considine-Dare,59.26281057,18.03007716
52dd4b7c5b404c9096640df38f9c8502,"Borer, Schowalter and Rosenbaum",59.33609343,18.06040737
e575e936dc1f4d6f849cd287a400fd58,Fadel Inc,59.3306519,18.06389472
28e45244365f442385a7c9c74b05276a,"Paucek, Schneider and Stoltenberg",59.33848874,18.09139625
66b4ca20e115497faee0c7d09ca619ee,Batz-Abernathy,59.33249775,18.06443552
4901d2b6cdfd4bc1891b6b88df0a9add,"Luettgen, Balistreri and Purdy",59.3547972,18.08671962
46786690652c4f56bc95575111b9501a,"Harris, Mayert and Conroy",59.29678123,18.11996929
52776e937c264f94bf0be9548031e7ae,"Tillman, Lesch and Jaskolski",59.33915445,18.06334206
54b99f7cab8e43dbac4f0325ab72d9c4,Treutel-Hodkiewicz,59.29475743,18.05624933
f85aa2c285e04999a8ee668d9aff4e47,Gutmann PLC,59.3493598,18.0166356
f7ec6794d8724768b68fb1ccc53212ff,Lowe-Boyer,59.32282104,18.05814415
ff2ce49df59e462c98dbbe4c51caf800,"Raynor, Wunsch and Yost",59.3368785,18.06437979
0bead7f4e8004ccca604140f3b96240b,Bode and Sons,59.34020754,18.02578336
d4bfff7d1f524ec28b386211f63a404f,"Kuphal, Leuschke and Waters",59.34000525,18.0492057
318e15ee6ed9423087801125f5e2a481,Nader PLC,59.36695135,18.0367438
ab35504024254643918e8ec56fab66f4,Torphy Group,59.33234474,18.05246596
66b8d1c321c34018a4320a98e978de9b,"Streich, Dickens and Casper",59.33332603,18.03626831
